league,season,team,players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,url
,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,
ENG-Premier League,2526,Arsenal,25,26.0,38,3420,90,100,38,418,81,254,167,23,175,2.24,71,27,44,1.16,/en/squads/18bb7c10/2025-2026/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,30,28.0,38,3420,90,100,38,418,82,246,175,19,167,1.71,56,49,7,0.18,/en/squads/8602292d/2025-2026/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,26,25.0,38,3420,90,100,38,418,83,246,173,17,168,1.5,58,54,4,0.11,/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
ENG-Premier League,2526,Brentford,26,25.2,38,3420,90,100,38,418,84,281,136,17,206,1.39,55,52,3,0.08,/en/squads/cd051869/2025-2026/Brentford-Stats
ENG-Premier League,2526,Brighton,28,26.1,38,3420,90,100,38,418,82,242,178,19,164,1.39,52,46,6,0.16,/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,28,27.0,38,3420,90,100,38,418,83,242,173,17,168,0.58,38,75,-37,-0.97,/en/squads/943e8050/2025-2026/Burnley-Stats
ENG-Premier League,2526,Chelsea,30,24.1,38,3420,90,100,38,418,80,253,158,24,184,1.37,58,52,6,0.16,/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,30,26.2,38,3420,90,100,38,418,83,281,136,20,204,1.18,41,51,-10,-0.26,/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,22,27.3,38,3420,90,100,38,418,85,286,128,15,211,1.29,47,50,-3,-0.08,/en/squads/d3fd31cc/2025-2026/Everton-Stats
ENG-Premier League,2526,Fulham,24,28.1,38,3420,90,100,38,418,82,238,180,19,162,1.37,47,51,-4,-0.11,/en/squads/fd962109/2025-2026/Fulham-Stats
ENG-Premier League,2526,Leeds United,24,26.8,38,3420,90,100,38,418,83,255,164,16,178,1.24,49,56,-7,-0.18,/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,24,26.6,38,3420,90,100,38,418,83,268,151,18,189,1.58,63,53,10,0.26,/en/squads/822bd0ba/2025-2026/Liverpool-Stats
ENG-Premier League,2526,Manchester City,27,25.4,38,3420,90,100,38,418,83,271,147,19,195,2.05,77,35,42,1.11,/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,27,26.1,38,3420,90,100,38,418,83,267,148,18,194,1.87,69,50,19,0.5,/en/squads/19538871/2025-2026/Manchester-United-Stats
ENG-Premier League,2526,Newcastle,26,26.7,38,3420,90,100,38,418,82,245,170,20,172,1.29,53,55,-2,-0.05,/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
ENG-Premier League,2526,Nottingham,31,25.9,38,3420,90,100,38,418,82,265,155,21,187,1.16,48,51,-3,-0.08,/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,29,25.3,38,3420,90,100,38,418,83,280,137,20,205,1.42,42,48,-6,-0.16,/en/squads/8ef52968/2025-2026/Sunderland-Stats
ENG-Premier League,2526,Tottenham,31,25.3,38,3420,90,100,38,418,81,250,165,20,174,1.08,48,57,-9,-0.24,/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,32,26.3,38,3420,90,100,38,418,84,281,134,18,208,1.03,46,65,-19,-0.5,/en/squads/7c21e445/2025-2026/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,31,25.8,38,3420,90,100,38,418,82,258,157,20,185,0.53,27,68,-41,-1.08,/en/squads/8cec06e1/2025-2026/Wolverhampton-Wanderers-Stats
