league,season,team,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,
ENG-Premier League,2526,Arsenal,25,38,51,0,0,391,408,61,679,259,332,,,1,/en/squads/18bb7c10/2025-2026/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,30,38,58,1,0,379,471,43,605,223,347,,,1,/en/squads/8602292d/2025-2026/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,26,38,88,2,0,458,384,70,727,341,378,,,3,/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
ENG-Premier League,2526,Brentford,26,38,69,1,0,390,339,58,679,318,331,,,3,/en/squads/cd051869/2025-2026/Brentford-Stats
ENG-Premier League,2526,Brighton,28,38,86,0,0,453,369,64,714,311,409,,,4,/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,28,38,66,3,1,392,333,56,516,344,363,,,4,/en/squads/943e8050/2025-2026/Burnley-Stats
ENG-Premier League,2526,Chelsea,30,38,98,8,4,419,445,58,677,358,340,,,1,/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,30,38,76,2,1,398,356,71,604,305,411,,,2,/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,22,38,74,4,1,409,405,53,672,303,403,,,1,/en/squads/d3fd31cc/2025-2026/Everton-Stats
ENG-Premier League,2526,Fulham,24,38,75,1,0,414,361,67,684,315,383,,,3,/en/squads/fd962109/2025-2026/Fulham-Stats
ENG-Premier League,2526,Leeds United,24,38,64,1,1,398,416,60,677,338,394,,,1,/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,24,38,57,1,0,384,387,76,762,250,307,,,0,/en/squads/822bd0ba/2025-2026/Liverpool-Stats
ENG-Premier League,2526,Manchester City,27,38,67,0,0,367,413,44,623,293,336,,,0,/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,27,38,64,3,1,390,394,52,639,310,406,,,2,/en/squads/19538871/2025-2026/Manchester-United-Stats
ENG-Premier League,2526,Newcastle,26,38,67,3,2,385,440,49,876,259,349,,,2,/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
ENG-Premier League,2526,Nottingham,31,38,60,1,0,406,422,60,826,290,385,,,3,/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,29,38,82,3,0,407,407,56,613,295,356,,,2,/en/squads/8ef52968/2025-2026/Sunderland-Stats
ENG-Premier League,2526,Tottenham,31,38,101,4,1,462,378,58,762,310,446,,,0,/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,32,38,69,3,1,421,385,65,638,341,403,,,3,/en/squads/7c21e445/2025-2026/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,31,38,80,3,1,494,403,53,694,303,415,,,4,/en/squads/8cec06e1/2025-2026/Wolverhampton-Wanderers-Stats
