league,season,team,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
ENG-Premier League,2627,Arsenal,1,1,1,90,1,0,0,1,1,100.0,1,0,0,1,100,0,0,0,0,,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2627,Aston Villa,1,1,1,90,1,4,4,7,3,42.9,0,0,1,0,0,0,0,0,0,,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2627,Bournemouth,1,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2627,Brentford,1,1,1,90,1,0,0,4,4,100.0,1,0,0,1,100,0,0,0,0,,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2627,Brighton,1,1,1,90,1,0,0,0,0,,1,0,0,1,100,0,0,0,0,,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2627,Chelsea,1,1,1,90,1,2,2,6,4,66.7,1,0,0,0,0,0,0,0,0,,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2627,Coventry City,1,1,1,90,1,3,3,5,2,40.0,0,0,1,0,0,0,0,0,0,,/en/squads/f7e3dfe9/Coventry-City-Stats
ENG-Premier League,2627,Crystal Palace,1,1,1,90,1,2,2,5,3,60.0,0,0,1,0,0,0,0,0,0,,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2627,Everton,1,1,1,90,1,0,0,4,4,100.0,1,0,0,1,100,0,0,0,0,,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2627,Fulham,1,1,1,90,1,3,3,6,3,50.0,0,0,1,0,0,0,0,0,0,,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2627,Hull City,1,1,1,90,1,0,0,5,5,100.0,1,0,0,1,100,0,0,0,0,,/en/squads/bd8769d1/Hull-City-Stats
ENG-Premier League,2627,Ipswich Town,1,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2627,Leeds United,1,1,1,90,1,0,0,3,2,100.0,1,0,0,1,100,0,0,0,0,,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2627,Liverpool,1,1,1,90,1,2,2,5,3,60.0,0,1,0,0,0,0,0,0,0,,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2627,Manchester City,1,1,1,90,1,1,1,4,3,75.0,1,0,0,0,0,0,0,0,0,,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2627,Manchester Utd,1,1,1,90,1,2,2,4,2,50.0,0,0,1,0,0,0,0,0,0,,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2627,Newcastle,1,1,1,90,1,2,2,7,5,71.4,0,1,0,0,0,1,1,0,0,0,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2627,Nottingham,1,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2627,Sunderland,1,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2627,Tottenham,1,1,1,90,1,3,3,8,5,62.5,0,0,1,0,0,1,0,0,1,,/en/squads/361ca564/Tottenham-Hotspur-Stats
