league,season,game,team,player,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Shea Lacey,31,ENG,FW,19-130,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Manchester United,Youri Tielemans,18,BEL,DM,29-107,66,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Abdoul Ouattara,42,FRA,MF,20-304,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Abdul Fatawu Issahaku,7,GHA,AM,22-167,65,0,0,0,0,0,0,0,0,1,3,0,6,2,1,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Chuba Akpom,29,ENG,"FW,MF",30-317,25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Daizen Maeda,38,JPN,AM,28-306,79,0,0,0,0,1,0,0,0,2,0,0,2,3,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Dara O'Shea,26,IRL,RB,27-171,90,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Emersonn,19,BRA,FW,22-037,65,1,0,0,0,3,2,0,0,0,1,0,1,1,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Issa Diop,6,MAR,CB,29-225,90,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Jack Clarke,47,ENG,"FW,MF",25-272,20,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Jacob Greaves,24,ENG,CB,25-344,90,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Julio Enciso,10,PAR,AM,22-211,70,0,1,0,0,3,0,0,0,1,2,1,0,1,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Kasey McAteer,20,IRL,MF,24-273,25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Kjell Scherpen,37,NED,GK,26-211,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Leif Davis,3,ENG,LB,26-234,90,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Marcelino Núñez,32,CHI,DM,26-174,79,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Saša Lukić,23,SRB,DM,30-009,90,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Ipswich Town,Sindre Egeli,8,NOR,"FW,MF",20-062,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Brian Brobbey,9,NED,FW,24-202,66,0,0,0,0,2,1,0,0,2,0,2,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Chemsdine Talbi,7,MAR,MF,21-105,32,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Chris Rigg,11,ENG,MF,19-065,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Daniel Ballard,5,NIR,CB,26-334,90,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Enzo Le Fée,28,FRA,AM,26-200,79,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Granit Xhaka,34,SUI,DM,33-329,90,0,0,0,0,0,0,0,0,1,4,0,6,1,2,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Habib Diarra,19,SEN,MF,22-231,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Luke O'Nien,13,ENG,CB,31-274,66,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Nilson Angulo,10,ECU,AM,23-064,58,1,0,0,0,2,1,1,0,0,1,0,2,1,1,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Noah Sadiki,27,COD,DM,21-248,90,0,0,0,0,1,1,0,0,1,3,0,1,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Omar Alderete,15,PAR,DF,29-239,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Reinildo Mandava,17,MOZ,LB,32-213,90,0,0,0,0,0,0,0,0,2,1,0,2,1,3,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Robin Roefs,22,NED,GK,23-217,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Thomas Meunier,12,BEL,RB,34-344,90,0,0,0,0,2,1,0,0,1,0,0,4,1,2,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Trai Hume,32,NIR,AM,24-157,79,0,0,0,0,2,0,0,0,2,0,0,1,2,1,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Ipswich Town-Sunderland,Sunderland,Wilson Isidor,18,HAI,"FW,MF",25-360,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2d0f0fb4
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Anton Stach,18,GER,DM,27-280,90,1,0,0,0,3,1,0,0,2,4,0,1,2,4,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Brenden Aaronson,11,USA,AM,25-304,81,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Dominic Calvert-Lewin,9,ENG,FW,29-159,90,0,0,0,0,3,0,1,0,2,0,2,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Ethan Ampadu,4,WAL,DM,25-342,90,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Harry Wilson,10,WAL,AM,29-153,65,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Jaka Bijol,15,SVN,CB,27-198,90,0,0,0,0,2,0,0,0,1,1,0,1,1,2,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,James Justin,24,ENG,DM,28-180,90,0,0,0,0,0,0,0,0,1,2,0,1,3,1,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,James Trafford,1,ENG,GK,23-316,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Jayden Bogle,2,ENG,DM,26-026,90,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Joe Rodon,6,WAL,CB,28-304,90,0,0,0,0,1,0,0,0,2,1,0,1,0,2,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Noah Okafor,19,SUI,"FW,MF",26-090,25,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Sean Longstaff,8,ENG,MF,28-296,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Leeds United,Tarik Muharemovic,5,BIH,CB,23-175,90,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Arnaud Kalimuendo,15,FRA,FW,24-214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Chris Wood,9,NZL,FW,34-258,29,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Dan Ndoye,14,SUI,AM,25-301,61,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Ibrahim Sangaré,6,CIV,DM,28-263,90,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Igor Jesus,11,BRA,FW,25-178,90,0,0,0,0,3,1,0,0,1,3,1,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Jair Cunha,23,BRA,CB,21-168,90,0,0,0,0,0,0,1,0,2,2,0,1,0,1,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,James Mcatee,24,ENG,DM,23-308,73,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Luca Netz,25,GER,"DF,MF",23-099,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Matz Sels,26,BEL,GK,34-177,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Morgan Gibbs-White,10,ENG,AM,26-207,90,0,0,0,0,3,0,0,0,1,2,1,4,0,1,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Murillo,5,BRA,CB,24-049,89,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Neco Williams,3,WAL,DM,25-131,90,0,0,0,0,0,0,0,0,1,1,1,5,3,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Nikola Milenković,31,SRB,CB,28-314,90,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Ola Aina,34,NGA,DM,29-318,73,0,0,0,0,2,1,1,0,1,0,0,4,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-22 Nottingham-Leeds United,Nottingham Forest,Xaver Schlager,21,AUT,MF,28-328,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,b6600c62
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Alejandro Garnacho,17,ARG,MF,22-053,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Alysson,47,BRA,MF,20-110,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Boubacar Kamara,8,FRA,DM,26-273,90,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Emi Buendía,10,ARG,FW,29-241,85,0,0,0,0,3,0,0,0,2,2,1,1,0,2,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,George Hemmings,53,ENG,AM,19-172,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Ian Maatsen,22,NED,LB,24-166,81,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,John McGinn,7,SCO,AM,31-309,81,0,0,0,0,1,0,1,0,1,4,0,2,0,1,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,João Gomes,35,BRA,DM,25-192,39,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Lamare Bogarde,26,NED,"DF,MF",22-230,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Marco Bizot,40,NED,GK,35-166,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Matteo Ruggeri,13,ITA,"DF,MF",24-043,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Matty Cash,2,POL,RB,29-016,90,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Pau Torres,14,ESP,CB,29-219,73,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Ross Barkley,6,ENG,AM,32-261,73,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Tyrone Mings,5,ENG,DF,33-163,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Aston Villa,Victor Lindelöf,3,SWE,CB,32-037,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Bart Verbruggen,1,NED,GK,24-005,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Charalampos Kostoulas,19,GRE,FW,19-085,27,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Costinha,20,POR,"DF,MF",26-150,27,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Diego Gómez,25,PAR,AM,23-149,85,0,1,0,0,3,2,0,0,0,0,2,2,2,1,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Georginio Rutter,10,FRA,FW,24-125,90,0,1,0,0,2,0,0,0,0,0,2,0,2,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Ibrahim Osman,15,GHA,"FW,MF",21-267,13,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Jack Hinshelwood,8,ENG,AM,21-134,63,2,0,0,0,3,2,0,0,0,2,0,0,2,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Lewis Dunk,5,ENG,CB,34-275,90,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Luka Vušković,44,CRO,CB,19-180,90,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Malick Yalcouye,35,CIV,MF,20-278,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Mats Wieffer,27,NED,RB,26-280,77,0,0,0,0,1,0,0,0,1,2,0,1,1,3,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Maxim De Cuyper,29,BEL,AM,25-244,77,1,0,0,0,4,1,0,0,4,0,1,5,3,1,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Olivier Boscagli,21,FRA,LB,28-278,90,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Pascal Groß,13,GER,DM,35-069,90,0,0,0,0,0,0,1,0,1,0,0,10,1,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Yasin Ayari,26,SWE,DM,22-321,63,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Brighton-Aston Villa,Brighton & Hove Albion,Zadok Yohanna,36,NGA,FW,19-055,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,cc39f2ef
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Adam Smith,15,ENG,RB,35-116,90,0,0,0,0,0,0,0,0,1,3,0,1,1,2,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Adrien Truffert,3,FRA,LB,24-276,90,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Alex Scott,8,ENG,DM,23-002,90,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Alex Tóth,27,HUN,MF,20-304,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,António Silva,14,POR,CB,22-297,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Ben Gannon-Doak,11,SCO,MF,20-285,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Daniel Jebbison,29,CAN,FW,23-010,16,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Evanilson,9,BRA,FW,26-321,74,0,1,0,0,0,0,1,0,2,1,0,0,0,3,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,James Hill,5,ENG,CB,24-225,90,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Justin Kluivert,19,NED,AM,27-110,74,0,0,0,0,1,1,0,0,1,1,0,1,2,1,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Lewis Cook,4,ENG,DM,29-201,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Marcus Tavernier,16,ENG,AM,27-154,90,1,0,0,0,2,1,0,0,1,3,0,3,1,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Rayan,37,BRA,AM,20-020,88,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Tyler Adams,12,USA,MF,27-190,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Bournemouth,Đorđe Petrović,1,SRB,GK,26-319,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Abdukodir Khusanov,45,UZB,CB,22-175,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Antoine Semenyo,42,GHA,AM,26-228,90,0,0,0,0,1,1,0,0,2,2,2,1,1,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Elliot Anderson,5,ENG,DM,23-290,62,0,0,0,0,0,0,0,0,3,2,0,3,0,2,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Erling Haaland,9,NOR,FW,26-033,90,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Gianluigi Donnarumma,1,ITA,GK,27-179,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Jack Grealish,18,ENG,"FW,MF",30-347,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Joško Gvardiol,24,CRO,LB,24-212,90,1,0,0,0,1,1,0,0,0,0,0,1,1,2,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Marc Guéhi,6,ENG,DM,26-041,90,1,0,0,0,2,1,0,0,1,2,0,0,3,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Mateo Kovačić,8,CRO,MF,32-109,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Matheus Nunes,27,POR,"DF,MF",27-361,34,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Nico O'Reilly,33,ENG,AM,21-155,62,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Phil Foden,47,ENG,AM,26-087,81,0,0,0,0,2,0,1,0,2,2,0,8,1,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Rayan Cherki,10,FRA,"FW,MF",23-006,28,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Rico Lewis,82,ENG,RB,21-275,56,0,0,0,0,1,1,0,0,1,2,0,2,0,2,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Manchester City-Bournemouth,Manchester City,Rúben Dias,3,POR,CB,29-101,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,029e3234
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Alexander Isak,9,SWE,FW,26-336,90,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Alexis Mac Allister,10,ARG,MF,27-242,28,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Alisson,1,BRA,GK,33-325,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Cody Gakpo,18,NED,AM,27-108,90,1,0,0,0,6,1,0,0,4,3,1,3,3,3,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Dominik Szoboszlai,8,HUN,DM,25-302,90,1,0,1,1,3,1,0,0,2,1,0,10,0,1,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Florian Wirtz,7,GER,AM,23-112,62,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Jeremie Frimpong,30,NED,RB,25-256,90,0,0,0,0,1,0,1,0,2,0,0,5,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Jérémy Jacquet,5,FRA,CB,21-041,69,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Lewis Koumas,67,WAL,MF,20-338,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Milos Kerkez,6,HUN,LB,22-289,90,0,0,0,0,2,1,1,0,3,1,0,2,1,1,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Rio Ngumoha,73,ENG,AM,17-359,62,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,,,a02c581c
