league,season,team,players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,url
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,
ENG-Premier League,2627,Arsenal,16,1,3,20,6,30.0,20,6,0.15,0.5,0,0,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2627,Aston Villa,16,1,0,6,0,0.0,6,0,0.0,,0,0,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2627,Bournemouth,15,1,1,5,4,80.0,5,4,0.2,0.25,0,0,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2627,Brentford,16,1,3,26,8,30.8,26,8,0.12,0.38,0,1,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2627,Brighton,16,1,3,21,6,28.6,21,6,0.14,0.5,0,0,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2627,Chelsea,16,1,3,18,6,33.3,18,6,0.17,0.5,0,0,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2627,Coventry City,15,1,0,4,1,25.0,4,1,0.0,0.0,0,0,/en/squads/f7e3dfe9/Coventry-City-Stats
ENG-Premier League,2627,Crystal Palace,16,1,0,11,4,36.4,11,4,0.0,0.0,0,0,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2627,Everton,15,1,2,16,5,31.3,16,5,0.13,0.4,0,0,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2627,Fulham,15,1,2,14,6,42.9,14,6,0.14,0.33,0,0,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2627,Hull City,16,1,2,8,4,50.0,8,4,0.25,0.5,0,0,/en/squads/bd8769d1/Hull-City-Stats
ENG-Premier League,2627,Ipswich Town,16,1,2,10,3,30.0,10,3,0.2,0.67,0,0,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2627,Leeds United,13,1,1,11,3,27.3,11,3,0.09,0.33,0,0,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2627,Liverpool,15,1,2,27,7,25.9,27,7,0.07,0.29,1,1,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2627,Manchester City,15,1,2,13,6,46.2,13,6,0.15,0.33,0,0,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2627,Manchester Utd,16,1,0,21,5,23.8,21,5,0.0,0.0,0,0,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2627,Newcastle,16,1,2,13,4,30.8,13,4,0.15,0.5,0,0,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2627,Nottingham,15,1,0,12,2,16.7,12,2,0.0,0.0,0,0,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2627,Sunderland,16,1,1,11,4,36.4,11,4,0.09,0.25,0,0,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2627,Tottenham,16,1,0,9,4,44.4,9,4,0.0,0.0,0,0,/en/squads/361ca564/Tottenham-Hotspur-Stats
